Initial State   Number of Generations   Final State
398                       3                    0
399                       3                    27
400                       1                    432
401                       5                    0
402                       6                    0
403                       3                    0
404                       2                    432
405                       4                    0
406                       4                    0
407                       3                    0
408                       5                    0
409                       3                    170
410                       5                    0
411                       3                    0
412                       4                    216
413                       3                    216
414                       3                    0
415                       4                    0
416                       1                    432
417                       2                    432
418                       2                    432
419                       1                    426
420                       2                    432
421                       3                    432
422                       2                    0
423                       4                    0
424                       2                    432
425                       1                    426
426                       1                    426
427                       1                    427
428                       3                    432
429                       3                    432
430                       4                    0
431                       2                    170
432                       1                    432
433                       1                    426
434                       4                    0
435                       3                    0
436                       2                    0
437                       3                    0
438                       4                    0
439                       3                    0
440                       4                    0
441                       3                    0
442                       2                    171
443                       2                    0
444                       3                    0
445                       4                    0
446                       4                    0
447                       2                    0
448                       2                    0
449                       2                    0
450                       3                    0
451                       2                    0
452                       2                    0
453                       3                    0
454                       2                    0
455                       2                    0
456                       2                    216
457                       2                    216
458                       3                    216
459                       4                    0
460                       3                    216
461                       1                    234
462                       3                    216
463                       2                    0
464                       5                    0
465                       3                    432
466                       3                    0
467                       3                    0
468                       3                    216
469                       4                    0
470                       3                    0
471                       3                    0
472                       2                    0
473                       2                    170
474                       3                    0
475                       3                    0
476                       3                    0
477                       3                    0
478                       4                    0
479                       2                    0
480                       2                    432
481                       3                    432
482                       3                    432
483                       3                    432
484                       2                    432
485                       1                    426
486                       4                    0
487                       2                    0
488                       2                    0
489                       4                    0
490                       4                    0
491                       2                    170
492                       4                    0
493                       2                    0
494                       2                    170
495                       2                    0
496                       2                    0
497                       3                    0
498                       3                    0
499                       4                    0
500                       2                    170
501                       3                    0
502                       3                    0
503                       2                    0
504                       4                    0
505                       3                    0
506                       4                    0
507                       2                    0
508                       3                    0
509                       2                    0
510                       2                    0
511                       2                    0
